year,imdb,title,test,clean_test,binary,budget,domgross,intgross,genre,Horror,Comedy,Action,Romance,Sci-Fi,Drama,Historic Fiction,Fantasy,Thriller,Sum
2006,tt0470705,Bug,ok,ok,PASS,4000000,7006708,7006708,"Drama, Horror, Thriller",1,0,0,0,0,1,0,0,1,3
2006,tt0317219,Cars,notalk-disagree,notalk,FAIL,70000000,244082982,461667967,"Animation, Comedy, Family",0,1,0,0,0,0,0,0,0,1
2006,tt0381061,Casino Royale,notalk,notalk,FAIL,102000000,167365000,596365000,"Action, Adventure, Thriller",0,0,1,0,0,0,0,0,1,2
2006,tt0206634,Children of Men,ok,ok,PASS,76000000,35552383,69450202,"Adventure, Drama, Sci-Fi",0,0,1,0,1,1,0,0,0,3
2006,tt0424345,Clerks II,dubious,dubious,FAIL,5000000,24148068,25894473,Comedy,0,1,0,0,0,0,0,0,0,1
2006,tt0479884,Crank,nowomen,nowomen,FAIL,12000000,27838408,43924923,"Action, Crime, Thriller",0,0,1,0,0,0,0,0,1,2
2006,tt0405094,Das Leben Der Anderen,nowomen-disagree,nowomen,FAIL,2000000,11284657,81197047,"Drama, Mystery, Thriller",0,0,0,0,0,1,0,0,1,2
2006,tt0398913,DOA: Dead or Alive,ok,ok,PASS,30000000,480314,7756224,"Action, Adventure, Mystery",0,0,1,0,0,0,0,0,0,1
2006,tt0457430,El laberinto del fauno (Pan's Labyrinth),ok-disagree,ok,PASS,16000000,37634615,87041569,"Drama, Fantasy, War",0,0,0,0,0,1,0,1,0,2
2006,tt0449010,Eragon,notalk,notalk,FAIL,100000000,75030163,249488115,"Action, Adventure, Family",0,0,1,0,0,0,0,0,0,1
2006,tt0457572,Fido,men,men,FAIL,8000000,298110,419801,"Comedy, Drama, Horror",1,1,0,0,0,1,0,0,0,3
2006,tt0414982,Final Destination 3,ok,ok,PASS,25000000,54098051,112798051,"Horror, Thriller",1,0,0,0,0,0,0,0,1,2
2006,tt0424095,Flushed Away,nowomen,nowomen,FAIL,149000000,64665672,177665672,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2006,tt0470765,For Your Consideration,ok,ok,PASS,12000000,5549923,5549923,Comedy,0,1,0,0,0,0,0,0,0,1
2006,tt0436331,Friends with Money,ok,ok,PASS,6500000,13368437,17518322,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2006,tt0438097,Ice Age: The Meltdown,notalk,notalk,FAIL,75000000,195330621,651899282,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
